species,source,family,class,guild,trophic,lmax,better_dist,bimodal,fished
Enneanectes altivelis,cbf,Tripterygiidae,Actinopterygii,tropical,NA,4,normal,FALSE,FALSE
Enneanectes atrorus,cbf,Tripterygiidae,Actinopterygii,tropical,NA,3.3,normal,FALSE,FALSE
Enneanectes matador,cbf,Tripterygiidae,Actinopterygii,tropical,NA,2.1,normal,FALSE,FALSE
Enneapterygius pyramis,cbf,Tripterygiidae,Actinopterygii,tropical,NA,3.3,normal,FALSE,FALSE
Enneapterygius ventermaculus,cbf,Tripterygiidae,Actinopterygii,tropical,NA,4,normal,FALSE,FALSE
Eviota flatifasciata,cbf,"	Gobiidae",Actinopterygii,tropical,NA,2,normal,FALSE,FALSE
Eviota disrupta,cbf,"	Gobiidae",Actinopterygii,tropical,NA,1.6,normal,FALSE,FALSE
Eviota distigma,cbf,"	Gobiidae",Actinopterygii,tropical,NA,2,normal,FALSE,FALSE
Eviota infulata,cbf,"	Gobiidae",Actinopterygii,tropical,NA,2.5,normal,FALSE,FALSE
Eviota monostigma,cbf,"	Gobiidae",Actinopterygii,tropical,NA,2.7,normal,FALSE,FALSE
Eviota nebulosa,cbf,"	Gobiidae",Actinopterygii,tropical,NA,1.9,normal,FALSE,FALSE
Eviota occasa,cbf,"	Gobiidae",Actinopterygii,tropical,NA,1,normal,FALSE,FALSE
Eviota punyit,cbf,"	Gobiidae",Actinopterygii,tropical,NA,1.8,normal,FALSE,FALSE
Eviota sparsa,cbf,"	Gobiidae",Actinopterygii,tropical,NA,2.1,lognormal,FALSE,FALSE
Eviota teresae,cbf,"	Gobiidae",Actinopterygii,tropical,NA,2.1,normal,FALSE,FALSE
Eviota variola,cbf,"	Gobiidae",Actinopterygii,tropical,NA,2.2,normal,FALSE,FALSE
Fusigobius humeralis,cbf,Gobiidae,Actinopterygii,tropical,NA,4.4,normal,FALSE,FALSE
Gnatholepis caudimaculata,cbf,Oxudercidae,Actinopterygii,tropical,NA,4.3,normal,FALSE,FALSE
Helcogramma fuscopinna,cbf,Tripterygiidae,Actinopterygii,tropical,NA,3.8,lognormal,FALSE,FALSE
Helcogramma vulcanum,cbf,Tripterygiidae,Actinopterygii,tropical,NA,3.8,normal,FALSE,FALSE
Hetereleotris vulgaris,cbf,Gobiidae,Actinopterygii,tropical,NA,4,normal,FALSE,FALSE
Hypleurochilus pseudoaequipinnis,cbf,Blenniidae,Actinopterygii,tropical,NA,6.8,normal,FALSE,FALSE
Limnichthys nitidus,cbf,Creediidae,Actinopterygii,tropical,NA,3.5,normal,FALSE,FALSE
Lythrypnus crocodilus,cbf,Gobiidae,Actinopterygii,tropical,NA,1.5,normal,FALSE,FALSE
Lythrypnus elasson,cbf,Gobiidae,Actinopterygii,tropical,NA,1.6,normal,FALSE,FALSE
Lythrypnus minimus,cbf,Gobiidae,Actinopterygii,tropical,NA,1.5,normal,FALSE,FALSE
Lythrypnus nesiotes,cbf,Gobiidae,Actinopterygii,tropical,NA,2,normal,FALSE,FALSE
Lythrypnus spilus,cbf,Gobiidae,Actinopterygii,tropical,NA,2.5,normal,FALSE,FALSE
Nectamia savayensis,cbf,Apogonidae,Actinopterygii,tropical,NA,10,normal,FALSE,FALSE
Paragobiodon modestus,cbf,Gobiidae,Actinopterygii,tropical,NA,3.5,normal,FALSE,FALSE
Phaeoptyx conklini,cbf,Apogonidae,Actinopterygii,tropical,NA,9,normal,FALSE,FALSE
Phaeoptyx pigmentaria,cbf,Apogonidae,Actinopterygii,tropical,NA,8,normal,FALSE,FALSE
Phaeoptyx xenus,cbf,Apogonidae,Actinopterygii,tropical,NA,7.5,normal,FALSE,FALSE
Plesiops coeruleolineatus,cbf,"	Plesiopidae",Actinopterygii,tropical,NA,10,normal,FALSE,FALSE
Priolepis compita,cbf,Blenniidae,Actinopterygii,tropical,NA,2.5,normal,FALSE,FALSE
Priolepis hipoliti,cbf,Blenniidae,Actinopterygii,tropical,NA,4.6,lognormal,FALSE,FALSE
Priolepis semidoliata,cbf,Blenniidae,Actinopterygii,tropical,NA,2.4,normal,FALSE,FALSE
Priolepis squamogena,cbf,Blenniidae,Actinopterygii,tropical,NA,5.4,normal,FALSE,FALSE
Pseudogramma polyacanthum,cbf,Serranidae,Actinopterygii,tropical,NA,8.6,normal,FALSE,FALSE
Risor ruber,cbf,Gobiidae,Actinopterygii,tropical,NA,2.5,normal,FALSE,FALSE
Scarus iserti,cbf,Scaridae,Actinopterygii,tropical,NA,35,normal,FALSE,FALSE
Sebastapistes fowleri,cbf,Scorpaenidae,Actinopterygii,tropical,NA,4.7,normal,FALSE,FALSE
Starksia nanodes,cbf,Labrisomidae,Actinopterygii,tropical,NA,2.2,normal,FALSE,FALSE
Starksia occidentalis,cbf,Labrisomidae,Actinopterygii,tropical,NA,2.4,normal,FALSE,FALSE
Starksia sangreyae,cbf,Labrisomidae,Actinopterygii,tropical,NA,1.6,normal,FALSE,FALSE
Tigrigobius saucrus,cbf,Gobiidae,Actinopterygii,tropical,NA,1.6,normal,FALSE,FALSE
Trimma capostriatum,cbf,Gobiidae,Actinopterygii,tropical,NA,2.9,normal,FALSE,FALSE
Trimma corallinum,cbf,Gobiidae,Actinopterygii,tropical,NA,2.5,normal,FALSE,FALSE
Trimma macrophthalmum,cbf,Gobiidae,Actinopterygii,tropical,NA,2.5,normal,FALSE,FALSE
Trimma necopinum,cbf,Gobiidae,Actinopterygii,tropical,NA,4,normal,FALSE,FALSE
Trimmatom eviotops,cbf,Gobiidae,Actinopterygii,tropical,NA,2.1,normal,FALSE,FALSE
Uropterygius fuscoguttatus,cbf,Muraenidae,Actinopterygii,tropical,NA,30,normal,FALSE,FALSE
