population,binned,cont,mean_size,data,species
Plesiops coeruleolineatus__Lizard,0.5168881587654981,0.539104838625913,4.125,cbf,Plesiops coeruleolineatus
Pleurosicya labiata__Moorea,0.671900485031411,0.6104453000445497,1.6666666666666667,cbf,Pleurosicya labiata
Pomacentrus adelus__Lizard,0.4091766878790611,0.34450147560134814,3.9636363636363634,cbf,Pomacentrus adelus
Pomacentrus brachialis__Lizard,0.47188343416464107,0.46820172412395733,4.236363636363636,cbf,Pomacentrus brachialis
Pomacentrus lepidogenys__Lizard,0.49438914310664117,0.48972526463222066,3.8294117647058825,cbf,Pomacentrus lepidogenys
Pomacentrus wardi__Lizard,0.48319075815276824,0.4586590196158738,4.4818181818181815,cbf,Pomacentrus wardi
Priolepis compita__Moorea,0.17978932495645744,0.1358073497496662,1.48,cbf,Priolepis compita
Priolepis hipoliti__Belize,0.3379450387684457,0.30490550278796796,1.8,cbf,Priolepis hipoliti
Priolepis semidoliata__Moorea,0.34567476028243593,0.2932016030788975,1.989655172413793,cbf,Priolepis semidoliata
Priolepis squamogena__Moorea,0.3568010566032911,0.3229221356528423,2.4956521739130433,cbf,Priolepis squamogena
Pristiapogon exostigma__Moorea,0.32685188590028047,0.33497035088300653,3.316666666666667,cbf,Pristiapogon exostigma
Pristiapogon kallopterus__Moorea,0.2883035357818975,0.21955336482054727,4.779245283018867,cbf,Pristiapogon kallopterus
Pseudocheilinus hexataenia__Moorea,0.3094550646157326,0.30956389666769346,3.55,cbf,Pseudocheilinus hexataenia
Pseudochromis flammicauda__Lizard,0.20381348205451966,0.1345837396870729,4.1454545454545455,cbf,Pseudochromis flammicauda
Pseudochromis wilsoni__Lizard,0.15567893471489708,0.14446604297179522,3.3333333333333335,cbf,Pseudochromis wilsoni
Pseudogramma polyacanthum__Moorea,0.38125651960332985,0.4038020837086118,3.103448275862069,cbf,Pseudogramma polyacanthum
Risor ruber__Belize,0.1879184319515419,0.21545441018261108,1.58,cbf,Risor ruber
Risor ruber__Panama,0.2203505431094603,0.18395190699523467,1.736,cbf,Risor ruber
Scarus iserti__Belize,0.6355770478457646,0.6866905473065336,3.772727272727273,cbf,Scarus iserti
