species,size_class,size_min,size_max,std_mk,name,value
Notolabrus tetricus,20,17.5,22.5,3.030344711,lbspr,0.0765051709569543
Notolabrus tetricus,20,17.5,22.5,3.030344711,rls_obs,0.20218986034885617
Notolabrus tetricus,20,17.5,22.5,3.030344711,p_norm,0.2189150560277671
Notolabrus tetricus,20,17.5,22.5,3.030344711,p_lnorm,0.27644467907115505
Notolabrus tetricus,20,17.5,22.5,3.030344711,lbspr_mk15,0.12036218527605892
Notolabrus tetricus,25,22.5,27.5,3.030344711,lbspr,0.05509181572589763
Notolabrus tetricus,25,22.5,27.5,3.030344711,rls_obs,0.16076183230994948
Notolabrus tetricus,25,22.5,27.5,3.030344711,p_norm,0.24029945806229547
Notolabrus tetricus,25,22.5,27.5,3.030344711,p_lnorm,0.2279026530356576
Notolabrus tetricus,25,22.5,27.5,3.030344711,lbspr_mk15,0.14736258094614202
Notolabrus tetricus,30,27.5,32.5,3.030344711,lbspr,0.0120163756887667
Notolabrus tetricus,30,27.5,32.5,3.030344711,rls_obs,0.09666358745856654
Notolabrus tetricus,30,27.5,32.5,3.030344711,p_norm,0.18198583139555913
Notolabrus tetricus,30,27.5,32.5,3.030344711,p_lnorm,0.1387677203468871
Notolabrus tetricus,30,27.5,32.5,3.030344711,lbspr_mk15,0.06815444431243331
Notolabrus tetricus,35,32.5,37.5,3.030344711,lbspr,0.00352505742201911
Notolabrus tetricus,35,32.5,37.5,3.030344711,rls_obs,0.0633809704939412
Notolabrus tetricus,35,32.5,37.5,3.030344711,p_norm,0.09507678064608029
Notolabrus tetricus,35,32.5,37.5,3.030344711,p_lnorm,0.07176138169819635
Notolabrus tetricus,35,32.5,37.5,3.030344711,lbspr_mk15,0.04358583915302622
Notolabrus tetricus,40,37.5,45,3.030344711,lbspr,1.0472824211265428e-4
Notolabrus tetricus,40,37.5,45,3.030344711,rls_obs,0.02389284355811552
Notolabrus tetricus,40,37.5,45,3.030344711,p_norm,0.04014053731412559
Notolabrus tetricus,40,37.5,45,3.030344711,p_lnorm,0.04309243632359749
Notolabrus tetricus,40,37.5,45,3.030344711,lbspr_mk15,0.00421721088561428
Notolabrus tetricus,50,45,56.25,3.030344711,lbspr,0
Notolabrus tetricus,50,45,56.25,3.030344711,rls_obs,0.00810193990110308
Notolabrus tetricus,50,45,56.25,3.030344711,p_norm,0.00423717084767105
Notolabrus tetricus,50,45,56.25,3.030344711,p_lnorm,0.01521174282710491
Notolabrus tetricus,50,45,56.25,3.030344711,lbspr_mk15,0
Notolabrus tetricus,62.5,56.25,68.75,3.030344711,lbspr,0
Notolabrus tetricus,62.5,56.25,68.75,3.030344711,rls_obs,5.053523881975764e-4
Notolabrus tetricus,62.5,56.25,68.75,3.030344711,p_norm,2.8702397224078524e-5
Notolabrus tetricus,62.5,56.25,68.75,3.030344711,p_lnorm,0.00242462742261118
Notolabrus tetricus,62.5,56.25,68.75,3.030344711,lbspr_mk15,0
Coris auricularis,2.5,1.25,3.75,1.912741224,lbspr,0.1049619634627131
Coris auricularis,2.5,1.25,3.75,1.912741224,rls_obs,0.05808008792003728
Coris auricularis,2.5,1.25,3.75,1.912741224,p_norm,0.00371175899064848
Coris auricularis,2.5,1.25,3.75,1.912741224,p_lnorm,1.6637355493262923e-8
Coris auricularis,2.5,1.25,3.75,1.912741224,lbspr_mk15,0.08331360946745561
Coris auricularis,5,3.75,6.25,1.912741224,lbspr,0.09933810872341609
Coris auricularis,5,3.75,6.25,1.912741224,rls_obs,0.09785973137089876
Coris auricularis,5,3.75,6.25,1.912741224,p_norm,0.00777437530052534
Coris auricularis,5,3.75,6.25,1.912741224,p_lnorm,3.4615125435827943e-5
Coris auricularis,5,3.75,6.25,1.912741224,lbspr_mk15,0.08083600238857826
Coris auricularis,7.5,6.25,8.75,1.912741224,lbspr,0.09368204786495642
Coris auricularis,7.5,6.25,8.75,1.912741224,rls_obs,0.1954203676782572
Coris auricularis,7.5,6.25,8.75,1.912741224,p_norm,0.01490288011175665
Coris auricularis,7.5,6.25,8.75,1.912741224,p_lnorm,0.00149616061112929
Coris auricularis,7.5,6.25,8.75,1.912741224,lbspr_mk15,0.07828022365778187
Coris auricularis,10,8.75,11.25,1.912741224,lbspr,0.1702637570103837
Coris auricularis,10,8.75,11.25,1.912741224,rls_obs,0.2229510249222701
Coris auricularis,10,8.75,11.25,1.912741224,p_norm,0.02614541277555001
Coris auricularis,10,8.75,11.25,1.912741224,p_lnorm,0.0123144795002616
Coris auricularis,10,8.75,11.25,1.912741224,lbspr_mk15,0.1485293957982737
Coris auricularis,12.5,11.25,13.75,1.912741224,lbspr,0.07650619134877007
Coris auricularis,12.5,11.25,13.75,1.912741224,rls_obs,0.16173391668463555
Coris auricularis,12.5,11.25,13.75,1.912741224,p_norm,0.04198003488110079
Coris auricularis,12.5,11.25,13.75,1.912741224,p_lnorm,0.04151979867385776
Coris auricularis,12.5,11.25,13.75,1.912741224,lbspr_mk15,0.07004180011942891
Coris auricularis,15,13.75,17.5,1.912741224,lbspr,0.13554667110889
Coris auricularis,15,13.75,17.5,1.912741224,rls_obs,0.11335702908177817
Coris auricularis,15,13.75,17.5,1.912741224,p_norm,0.10054859878117196
Coris auricularis,15,13.75,17.5,1.912741224,p_lnorm,0.1379424407391101
Coris auricularis,15,13.75,17.5,1.912741224,lbspr_mk15,0.13101677433364095
Coris auricularis,20,17.5,22.5,1.912741224,lbspr,0.11191293242267757
Coris auricularis,20,17.5,22.5,1.912741224,rls_obs,0.07855766622382049
Coris auricularis,20,17.5,22.5,1.912741224,p_norm,0.2026734094028724
Coris auricularis,20,17.5,22.5,1.912741224,p_lnorm,0.2645117162448548
Coris auricularis,20,17.5,22.5,1.912741224,lbspr_mk15,0.11785570815916616
Coris auricularis,25,22.5,27.5,1.912741224,lbspr,0.12237436837136988
Coris auricularis,25,22.5,27.5,1.912741224,rls_obs,0.04663796281483233
Coris auricularis,25,22.5,27.5,1.912741224,p_norm,0.23462502077877473
Coris auricularis,25,22.5,27.5,1.912741224,p_lnorm,0.23392260039449853
Coris auricularis,25,22.5,27.5,1.912741224,lbspr_mk15,0.14795070843059552
Coris auricularis,30,27.5,32.5,1.912741224,lbspr,0.05008606807707257
Coris auricularis,30,27.5,32.5,1.912741224,rls_obs,0.02098534434188652
Coris auricularis,30,27.5,32.5,1.912741224,p_norm,0.19206964928361248
Coris auricularis,30,27.5,32.5,1.912741224,p_lnorm,0.15102094993185067
Coris auricularis,30,27.5,32.5,1.912741224,lbspr_mk15,0.073877639650399
Coris auricularis,35,32.5,37.5,1.912741224,lbspr,0.03135432283858071
Coris auricularis,35,32.5,37.5,1.912741224,rls_obs,0.00402039410991395
Coris auricularis,35,32.5,37.5,1.912741224,p_norm,0.11117766925510486
Coris auricularis,35,32.5,37.5,1.912741224,p_lnorm,0.08209670714926731
Coris auricularis,35,32.5,37.5,1.912741224,lbspr_mk15,0.05819770913631181
Coris auricularis,40,37.5,45,1.912741224,lbspr,0.00397356877116997
Coris auricularis,40,37.5,45,1.912741224,rls_obs,3.477849576050137e-4
Coris auricularis,40,37.5,45,1.912741224,p_norm,0.05435187183554735
Coris auricularis,40,37.5,45,1.912741224,p_lnorm,0.05183316478190025
Coris auricularis,40,37.5,45,1.912741224,lbspr_mk15,0.01010042885836816
Coris auricularis,50,45,56.25,1.912741224,lbspr,0
Coris auricularis,50,45,56.25,1.912741224,rls_obs,4.868989406470191e-5
Coris auricularis,50,45,56.25,1.912741224,p_norm,0.0073403502031254
Coris auricularis,50,45,56.25,1.912741224,p_lnorm,0.01945167270557823
Coris auricularis,50,45,56.25,1.912741224,lbspr_mk15,0
Thalassoma lunare,2.5,1.25,3.75,1.345382475,lbspr,0.24074707196959225
Thalassoma lunare,2.5,1.25,3.75,1.345382475,rls_obs,0.0696832955561563
Thalassoma lunare,2.5,1.25,3.75,1.345382475,p_norm,0.02364630712652841
Thalassoma lunare,2.5,1.25,3.75,1.345382475,p_lnorm,0.00139423944590171
Thalassoma lunare,2.5,1.25,3.75,1.345382475,lbspr_mk15,0.26427623013328133
Thalassoma lunare,5,3.75,6.25,1.345382475,lbspr,0.22212683481107007
Thalassoma lunare,5,3.75,6.25,1.345382475,rls_obs,0.17714030235604816
Thalassoma lunare,5,3.75,6.25,1.345382475,p_norm,0.083838054619252
Thalassoma lunare,5,3.75,6.25,1.345382475,p_lnorm,0.07274022588453968
Thalassoma lunare,5,3.75,6.25,1.345382475,lbspr_mk15,0.2352521429668235
Thalassoma lunare,7.5,6.25,8.75,1.345382475,lbspr,0.19980743753660823
Thalassoma lunare,7.5,6.25,8.75,1.345382475,rls_obs,0.22418848385285617
Thalassoma lunare,7.5,6.25,8.75,1.345382475,p_norm,0.187800372743988
Thalassoma lunare,7.5,6.25,8.75,1.345382475,p_lnorm,0.2600609904780389
Thalassoma lunare,7.5,6.25,8.75,1.345382475,lbspr_mk15,0.20194018661198976
Thalassoma lunare,10,8.75,11.25,1.345382475,lbspr,0.2908761592084325
Thalassoma lunare,10,8.75,11.25,1.345382475,rls_obs,0.20546278774771776
Thalassoma lunare,10,8.75,11.25,1.345382475,p_norm,0.2659643206225083
Thalassoma lunare,10,8.75,11.25,1.345382475,p_lnorm,0.29566569169061696
