population,mu_05,mu_10,mu_50,mu_90,mu_95,sigma_05,sigma_10,sigma_50,sigma_90,sigma_95,logl_50_norm,dat,meanlog_05,meanlog_10,meanlog_50,meanlog_90,meanlog_95,sdlog_05,sdlog_10,sdlog_50,sdlog_90,sdlog_95,logl_50_lnorm,mean_05_norm,mean_10_norm,mean_50_norm,mean_90_norm,mean_95_norm,cv_05_norm,cv_10_norm,cv_50_norm,cv_90_norm,cv_95_norm,mean_05_lnorm,mean_10_lnorm,mean_50_lnorm,mean_90_lnorm,mean_95_lnorm,cv_05_lnorm,cv_10_lnorm,cv_50_lnorm,cv_90_lnorm,cv_95_lnorm,population_n,species,fished,bimodal,normal_better,better_dist,cov_pref,pop_mean_size
Halichoeres melanurus__-13_137,2.925684428843411,3.3748441755403173,4.16044473234616,4.58635183214103,4.698312918802122,1.7540050835037109,1.8481932882886063,2.1603581848773574,2.770724946421318,3.1021872704593596,-7.63179406830212,rls,1.3399683566462148,1.3789859826831985,1.4603447069942952,1.5322497679164004,1.564900750113597,0.3044603554474833,0.31719969376851304,0.36361923838561594,0.43331989364428225,0.468765615338997,-12.55931451469026,4.188415790837694,4.276922490439293,4.548336643763028,4.828778142047463,4.975423848795047,0.35110971673723423,0.363385468766126,0.4056295824152367,0.4655678077012584,0.4897796445977554,4.164853459613081,4.2868020150725465,4.603566256775818,4.944565857173025,5.111063767042366,0.3116540974454944,0.32534830773241324,0.3759763197448937,0.4544791598514386,0.4957361103464404,782,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.4056295824152367,4.571611253196931
Halichoeres melanurus__-14_122,5.683185991211949,5.880855608515905,6.351703319355101,6.771050663705488,6.912832988226852,2.4003821234976708,2.4693997027015575,2.764485659785466,3.2326132881196368,3.439715463173648,-13.763794055843816,rls,1.7167519096070525,1.7413183598101138,1.803096264875951,1.867530199128535,1.8902029279508104,0.325176475533474,0.3351383098544517,0.37653491835527786,0.4284989955492088,0.44986727504976753,-19.386755556979143,6.146943775709012,6.254696769681313,6.572437245215436,6.946762588479723,7.08311319473734,0.34590675487324396,0.3550922713153458,0.3881967958515846,0.43466077618102944,0.4522204673137837,6.014836307003529,6.15380963790598,6.5268981344077295,6.946463120346984,7.119507769968689,0.3339648959555992,0.34477275677321134,0.3902837847538083,0.4489418647277664,0.4736178318660461,737,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.3881967958515846,6.540027137042062
Halichoeres melanurus__-14_126,2.7619813271833222,3.5230858596555725,4.8191709152563655,5.454198992581233,5.614216654586717,2.3902794080036713,2.496122135984622,2.9653826199104016,3.874221480606078,4.3896265785514625,-9.114013850859294,rls,1.521717993094572,1.5466481989696572,1.6193241330426815,1.6881770513517076,1.710807066893224,0.3576945303233736,0.3708360681847672,0.4168253303163893,0.47451763354985266,0.5012193359201716,-13.17552707413458,5.01192777977287,5.126161962315354,5.479509927741843,5.8789599582056375,6.026052087638808,0.3897579273548514,0.4015080819511465,0.4501130318782288,0.5169380676885724,0.5461466756358657,5.03176988395755,5.14443031872669,5.510440089145292,5.900332426630708,6.05408551793473,0.36944677926629,0.38395827083973993,0.435603241931549,0.502525474500064,0.5344099001031406,329,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.4501130318782288,5.486322188449848
Halichoeres melanurus__-14_137,4.93802956484014,5.660880864981071,6.401690026222568,6.843767745574387,7.008857176978461,1.6973093368188334,1.7722683875041507,2.111957013957859,3.009609633342886,3.768609022701005,-11.880286137261535,rls,1.5854000265044077,1.6581555161353425,1.8040419019991365,1.9085863817266877,1.935478962748134,0.2494733723604786,0.26664824288192807,0.3457941996802919,0.482833291544052,0.5772660486364387,-18.469357263282724,5.818776334591524,5.999653877913963,6.46710980572521,6.897669625854708,7.068766143863388,0.25429827444937453,0.2672499960441998,0.31887041225665325,0.4252373406744106,0.4918615979460627,5.503042358755625,5.786487614162392,6.465600986134996,7.145139397360833,7.417833050116767,0.25340579281057335,0.27145896478585146,0.3563933523197794,0.5123895577047806,0.6288695436549568,467,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.31887041225665325,6.472162740899358
Halichoeres melanurus__-15_145,3.386709627218425,4.485809663660607,5.9413842443157225,6.631383971274889,6.858106853540456,2.4705696831584483,2.5955320403646795,3.1660530332223003,4.52811896217081,5.297718721707461,-22.414897946268766,rls,1.7014012210116558,1.7191676394784294,1.7710391005528558,1.8224051190172263,1.8389755948234436,0.3333114028492276,0.34324486696013035,0.3780687511304592,0.4221943813429421,0.4393836234666043,-23.699178052531472,5.833142339412745,5.966443399560297,6.423047121383208,7.0197535371471576,7.229902014843303,0.3642915852407396,0.3743845493892649,0.43189351846611845,0.5275061294000339,0.5632291176090487,5.918128406347233,6.006535882062594,6.312596263567483,6.6512799767239805,6.766388239872903,0.3427867139228969,0.353607485889879,0.39198972297798174,0.4417259236016049,0.4614684296983735,1889,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.43189351846611845,6.32212811011117
Halichoeres melanurus__-16_146,3.634883037719327,4.5171458875458494,6.1728785931464,7.040802059582013,7.364358902113772,2.6837288189471287,2.813358488424883,3.513434284197489,5.065515638136688,5.68952682850243,-17.0801910789352,rls,1.7356189776193838,1.7541338308244283,1.817709687263117,1.8804772830286296,1.899526828773818,0.34119298466772324,0.353123359119654,0.3972578386730914,0.4490474953943123,0.4697492828747146,-18.34306903306281,6.0649170970694914,6.213580859051129,6.789364625899168,7.545265952520421,7.90722929549297,0.3704164122621878,0.3860018839008924,0.4477326457211435,0.5417469038386362,0.5692161868241075,6.162332213166301,6.2792987748514815,6.668919597776716,7.0983332349066375,7.269764921505356,0.35136786429089584,0.3644230362127982,0.41345874353772194,0.4726647558528156,0.4968952534842231,473,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.4477326457211435,6.643763213530655
Halichoeres melanurus__-17_146,3.4788262782595,4.174819015234934,5.7051978170238105,6.556368646280422,6.782846136049596,3.1528920237952853,3.315753185651638,3.9262862636063818,4.966620245810142,5.415304066862561,-21.120484063433963,rls,1.645207486876088,1.6784517804143049,1.7926118685902834,1.9012345566058948,1.9328529776766687,0.3759325567214663,0.3955350598797666,0.45682630370546,0.5380923448434091,0.57165137190267,-28.06830604246921,6.036998180933972,6.182166574701745,6.675355603363332,7.190361651732877,7.415186299593926,0.4169888192914229,0.4326165349817471,0.48241244975040576,0.5442960640331924,0.5673378097441302,5.857351157016055,6.035933891873966,6.67791876825668,7.374062653061365,7.677563843987008,0.3896142359153671,0.411521488394647,0.4817295244993244,0.5794975223837152,0.6216942583321322,1639,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.48241244975040576,6.717510677242221
Halichoeres melanurus__-18_146,3.68561803877558,4.672669822296095,5.668866651633902,6.113918268322686,6.282260659377905,2.3282891129055754,2.4002389766753214,2.770378292629662,3.8808658242331338,4.553920619641831,-20.4049156439913,rls,1.6340231671412366,1.6559852733031364,1.724981331457306,1.794987863019466,1.8183371124684704,0.3374754400169823,0.34817369715328284,0.3910936442377716,0.44749326511213294,0.4686058911940373,-24.84402461200023,5.596524425995141,5.704703901058993,6.021168143991296,6.432395614581212,6.637766814164278,0.3616878557892814,0.3706499843278967,0.4108580048169721,0.4983928447689669,0.5400153366185713,5.587192217330016,5.69507833675179,6.066251365765593,6.500585107053884,6.660535685102907,0.3473161131477978,0.35899692915593695,0.40653616475207466,0.4708592346755172,0.4955479691523091,2234,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.4108580048169721,5.980304386750224
Halichoeres melanurus__-18_147,3.301950896366167,4.170816805598532,5.313067513440459,5.909921163737531,6.082334831496769,2.814815133782042,2.914690940801074,3.3695167464719677,4.2707391912438135,4.800572085383478,-18.258782611511137,rls,1.6097709430286171,1.6351299779192394,1.7063274609053811,1.7762511945687385,1.8067454719944385,0.37477152182331336,0.38761706014552216,0.4318684018901324,0.4886121358315166,0.516031487629664,-22.7260137869416,5.577463890275963,5.691405253098448,6.053412529679468,6.480742591659726,6.635218873324742,0.4117108171784311,0.4220788808789759,0.4622726748632341,0.5222967323613729,0.552125045767486,5.563971911714265,5.675458355921507,6.055276022535076,6.489933152165104,6.664296522636389,0.3883243349500961,0.4026428123907871,0.4528101741937736,0.5192790146537978,0.5523690112095853,1365,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.4622726748632341,6.023809523809524
Halichoeres melanurus__-19_146,5.273853618878757,5.511914205611583,6.0884996839371635,6.550241772364483,6.721025619756028,2.298409976402392,2.379429482261954,2.6975753321308726,3.1599618156871387,3.368986720836741,-11.38505199988295,rls,1.5632665290641063,1.624763857733499,1.756975764092517,1.8645498885952905,1.8992748511466704,0.3125318926273439,0.33080608863049044,0.39614511950543074,0.5009110708720902,0.5484236675425671,-20.109589502055776,5.843220776247512,5.959565243157513,6.323642287214938,6.723139658542173,6.856847489631147,0.3398036718646319,0.3522587600264319,0.3913589938045202,0.4395384521114896,0.4588307325298564,5.424460793707134,5.62209677182073,6.28158601358415,6.935531762742923,7.219793958041572,0.32032122288661524,0.34006609670213883,0.4122072737136389,0.5340382522714902,0.5923652728590465,662,Halichoeres melanurus,FALSE,FALSE,TRUE,normal,0.3913589938045202,6.363293051359516
