population,mu_05,mu_10,mu_50,mu_90,mu_95,sigma_05,sigma_10,sigma_50,sigma_90,sigma_95,logl_50_norm,dat,meanlog_05,meanlog_10,meanlog_50,meanlog_90,meanlog_95,sdlog_05,sdlog_10,sdlog_50,sdlog_90,sdlog_95,logl_50_lnorm,mean_05_norm,mean_10_norm,mean_50_norm,mean_90_norm,mean_95_norm,cv_05_norm,cv_10_norm,cv_50_norm,cv_90_norm,cv_95_norm,mean_05_lnorm,mean_10_lnorm,mean_50_lnorm,mean_90_lnorm,mean_95_lnorm,cv_05_lnorm,cv_10_lnorm,cv_50_lnorm,cv_90_lnorm,cv_95_lnorm,population_n,species,fished,bimodal,normal_better,better_dist,cov_pref,mean_size,col
Chlorurus bleekeri__Chlorurus bleekeri,17.19369587336419,18.113461273873767,20.030485492871875,21.460975700210412,21.865422166397337,7.747330349195607,8.016764030984266,8.98115232654693,10.330140217913922,10.975500851888414,-32.477517592210134,rls,2.5292558686194293,2.5915356309216326,2.7686907324685555,2.8996906972021184,2.932925269709446,0.4517940629083196,0.4711002441558196,0.5643351742998062,0.714052559136249,0.7790785524469659,-48.200421735331375,18.356974137754698,19.000544886757833,20.464166908997967,21.750487690409557,22.11441511512477,0.3630597034076029,0.373172394858521,0.41637929007126206,0.4729163752816176,0.4999852582337262,15.457298447509478,16.233806896037866,18.830855275243827,21.25980094133377,22.169125397252927,0.47585997126932217,0.4984884886038788,0.612395404846132,0.8155222140367671,0.9137019257197,545,Chlorurus bleekeri,FALSE,FALSE,TRUE,normal,0.41637929007126206,21.21559633027523,rls_norm
Chlorurus microrhinos__Chlorurus microrhinos,5.8927006188810545,9.362626148564512,24.811476224495156,32.42036959797575,33.91963977333125,15.35844746771371,16.24683259032258,21.14040031389429,29.033153699257355,31.11663093747419,-78.67566503948215,rls,2.1504249816420367,2.2975348184332556,2.7384478740783993,3.0732736251577584,3.152743886536152,0.7319957478060584,0.7720683917894634,0.9719242545655482,1.2897144566085286,1.3904721963456448,-92.34103360958372,25.197935430517244,26.375846725079988,30.50929736114578,34.48196044270277,35.5649314765365,0.440853177537644,0.4611260062064682,0.5724962186437772,0.6859062104271588,0.7032583598038683,17.1696470746064,18.90509923042315,25.508044292126648,34.004059251128005,37.40744573882042,0.8419294053320214,0.9027776613016092,1.253745984049719,2.0680980846676076,2.4316795200151,4914,Chlorurus microrhinos,TRUE,TRUE,TRUE,normal,0.5724962186437772,29.685083435083435,rls_norm
Chlorurus sordidus__Chlorurus sordidus,1.3561272393276025,2.393028643826145,6.7321662819003745,9.664921062869936,10.29901159563793,9.649256821227354,10.0568065078312,11.838394363715617,14.049159870079498,14.712930710200176,-89.84702575011218,rls,2.22475424506493,2.24628643498089,2.314444228113768,2.3853153077179092,2.4056037743802485,0.5292564594694564,0.5403274187566273,0.5776872197317927,0.621722065906464,0.637964019931797,-91.53698220434264,11.87590320399585,12.091068249623984,12.985588280058488,14.073157689877926,14.482262304829712,0.5707340292815515,0.5837601998823211,0.6284714587854403,0.6726872922864701,0.68025678477116,11.0347568067784,11.252247351490364,11.971583252530314,12.774722520816422,13.058569435100416,0.5685758885700231,0.5822723118193004,0.6294090009445932,0.6869329025519256,0.7087321337974815,108042,Chlorurus sordidus,FALSE,FALSE,TRUE,normal,0.6284714587854403,12.121096425464168,rls_norm
Choerodon cauteroma__Choerodon cauteroma,19.135694590169795,20.015904340318265,22.344643133470896,24.24741507243977,24.803289607032255,8.259174031920393,8.574090476390644,9.895383798733512,12.021613395037326,12.772261948994366,-37.03977716598786,rls,2.7319144146653325,2.782560443816259,2.9413379809290365,3.0632828541177544,3.0966029062519187,0.41243779919358586,0.43158983074996626,0.5212684858435082,0.649885830401995,0.6924777107571383,-48.102174800530776,20.580158277863493,21.143195508028796,22.82718136668791,24.522376372127123,25.109301309394873,0.3463352374792502,0.3594177734502544,0.41365384450634374,0.4870237052733612,0.5091478251534456,18.249738392299204,19.084828537872028,21.780800819560103,24.48374559224279,25.25766795026332,0.43061495751329126,0.4524900398030182,0.5587670564064982,0.7249446912934107,0.784415435966361,585,Choerodon cauteroma,FALSE,FALSE,TRUE,normal,0.41365384450634374,21.55982905982906,rls_norm
Choerodon cyanodus__Choerodon cyanodus,18.025963200486448,18.401137909210433,19.384145189241984,20.22288039134369,20.512903464567465,8.541237331242908,8.694580719524449,9.334792882515442,10.258444758418376,10.68705202553704,-51.2169828324749,rls,2.6737529668487037,2.713131535435757,2.826250919889559,2.912957932598524,2.937290961883766,0.4471852466848734,0.46064247603249864,0.5227828386759271,0.6159463797814451,0.6581652409761958,-67.05953612444753,19.008611864609435,19.256847373261177,19.975933419094694,20.71971204029646,20.94817948717059,0.4050640046870241,0.4114368824053877,0.43744016085990134,0.4725650591615146,0.4849347045666339,17.196514094066636,17.75110273754074,19.365661766493627,21.047013280935293,21.745542619820306,0.4705016369491879,0.48619401333338313,0.5606219462496844,0.679258997382589,0.7363124841652191,3000,Choerodon cyanodus,TRUE,FALSE,TRUE,normal,0.43744016085990134,19.904166666666665,rls_norm
Choerodon fasciatus__Choerodon fasciatus,16.834426312233404,17.02935018739873,17.629067799995006,18.168263896964625,18.343518535389578,4.678537399195181,4.782012244555545,5.148374605454162,5.683614046897823,5.929287966587338,-30.62063914181434,rls,2.5147501022165617,2.567661805603153,2.7038551137618105,2.8001951845162054,2.825778136648472,0.35562876602954624,0.3727450498538704,0.4548343636824953,0.5757273361597179,0.6298087208704425,-47.96810702087715,16.862891165668827,17.07361596183775,17.646928839843703,18.187795077059885,18.36070944818424,0.263060083662171,0.26890462458287184,0.2904034719754665,0.32216388383583877,0.33468472187447745,14.226443184256864,14.832505782978066,16.57979094748136,18.282323753996753,19.002601892817665,0.367174986635014,0.3860749392488784,0.4794037659601643,0.6268996441750853,0.6977455937804603,1394,Choerodon fasciatus,FALSE,FALSE,TRUE,normal,0.2904034719754665,17.70444763271162,rls_norm
Choerodon rubescens__Choerodon rubescens,18.007264434658214,20.329457745467987,24.139322042079502,26.560312816597605,27.19796360758915,13.234736077631192,13.579044252777807,15.405032963914037,18.946522734514797,20.47710056851612,-65.7278751421207,rls,2.822730620488112,2.860415039739609,2.9823516809783963,3.0926586992114555,3.121528035296215,0.5462606544107287,0.5640557011220082,0.6346370084137707,0.7246772097872204,0.7553265595169812,-76.35443079020891,24.382244422614544,24.844538582220313,26.453858419351384,28.121692024216692,28.699200066590738,0.4537497484669078,0.46495192539165314,0.5120246878951439,0.5810838514369793,0.6094401056086403,21.067344024578208,21.74495706615104,24.20115748236296,26.95265212064846,27.81430702483102,0.589662369821279,0.6120413191156332,0.7042400181073738,0.8310982918933634,0.8770311430429008,2908,Choerodon rubescens,TRUE,FALSE,TRUE,normal,0.5120246878951439,25.734181568088033,rls_norm
Choerodon schoenleinii__Choerodon schoenleinii,12.211191708694056,15.504971475681756,23.231450431372885,26.25749145151082,26.87869874311597,15.37719672960596,15.932260309539538,18.857447348269133,25.159281275942384,27.09112392445347,-70.83323656117732,rls,2.960744652800927,2.9972696708336932,3.1002390955277788,3.186364736941221,3.208125239818425,0.5371292695302615,0.5506956417572864,0.6133815563609062,0.6917425444978068,0.7213314897352482,-78.3717362722126,25.600466688693142,26.040687414293707,27.608060748685816,29.578228366289274,30.32231518953449,0.49535934223912975,0.5073117916602659,0.5626340351248109,0.6483346005942595,0.6712776230382185,23.93162815319551,24.58030266755333,26.811805070334408,29.12200277119224,29.926524659221855,0.5783034053297741,0.5952094031971915,0.6758640810511662,0.7833675024338809,0.8261746213366397,2580,Choerodon schoenleinii,TRUE,FALSE,TRUE,normal,0.5626340351248109,26.73062015503876,rls_norm
Choerodon vitta__Choerodon vitta,6.125442255586104,7.460338273692759,9.104341976454371,9.965716901120135,10.349298159880476,3.394035742025894,3.536566757033248,4.320216605527259,6.654218626329043,7.767115924265161,-19.549372173177083,rls,2.0925419016732674,2.1108753828515705,2.1695683452444,2.225869130282881,2.244856370563063,0.3316779391637814,0.34210751881165913,0.3845103357599227,0.4398582223070244,0.4607995120449164,-20.632030353382333,8.687683206958697,8.890998486399107,9.49871851748944,10.4674218654483,10.92663509961665,0.348333287450579,0.3608259203866716,0.4175091773397563,0.5405592528953462,0.5847692632167163,8.788615868132462,8.925480456036997,9.423430145989393,10.001748874323102,10.229563498768336,0.3410124899706465,0.3523657845873837,0.3991702566252014,0.46201662310648833,0.48637797774531866,262,Choerodon vitta,FALSE,FALSE,TRUE,normal,0.4175091773397563,9.284351145038167,rls_norm
Chromis agilis__Chromis agilis,2.8750798536104867,4.365545938660791,5.707514150017554,6.250021507025412,6.441122072835704,1.7256771007316831,1.8094542950710597,2.1398834123677637,3.010293095174085,3.878362314536592,-18.40154206949293,rls,1.424573921253134,1.5036729466611862,1.6702501387574635,1.7985281480355997,1.8401219101629755,0.24851497397195024,0.2657167651784713,0.338799923091861,0.46005533933102616,0.5275666990127571,-25.344345293219344,4.912109763695717,5.192933025615505,5.828341635149883,6.312118560143397,6.5067791995535025,0.2769026824350569,0.2943052346830449,0.3475401761676786,0.4636552777436955,0.526516269875057,4.643198936871646,4.88786545709292,5.657554196829751,6.378704923330304,6.60114554459901,0.2524018578217446,0.2704767523023495,0.34875879327614023,0.4855063800067069,0.566495897637343,7668,Chromis agilis,FALSE,FALSE,TRUE,normal,0.3475401761676786,6.028951486697966,rls_norm
