species,size_class,p_lbspr,size_min,size_max,p_lbspr_mk15,p_obs,std_linf,std_k,std_mk,hoenig_m,largest_fish_in_sample_mm,mean_size
Pomacentrus moluccensis,250,0,225,275,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,300,0,275,325,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,350,0,325,375,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Pomacentrus moluccensis,400,0,375,450,0,0,4.74,0.566,0.86,0.49,56.6,4.530750604485698
Notolabrus tetricus,2.5,0.16841134397277066,1.25,3.75,0.08735370834427876,0.00189642992990273,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,5,0.14807383341068944,3.75,6.25,0.08462216777065523,0.01337281964897027,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,7.5,0.12907755840384638,6.25,8.75,0.08179797717757521,0.04197685160028256,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,10,0.20651933307151274,8.75,11.25,0.15470046248709715,0.07688963755909363,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,12.5,0.08010996465421828,11.25,13.75,0.0726583252582483,0.12378959952181708,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,15,0.12056481845121211,13.75,17.5,0.13518509838887066,0.18657827528120416,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,20,0.0765051709569543,17.5,22.5,0.12036218527605891,0.20218986034885617,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,25,0.05509181572589763,22.5,27.5,0.14736258094614202,0.16076183230994948,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,30,0.012016375688766706,27.5,32.5,0.06815444431243331,0.09666358745856654,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,35,0.0035250574220191126,32.5,37.5,0.043585839153026225,0.0633809704939412,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,40,1.0472824211265427e-4,37.5,45,0.004217210885614286,0.02389284355811552,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,50,0,45,56.25,0,0.00810193990110308,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,62.5,0,56.25,68.75,0,5.053523881975764e-4,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,75,0,68.75,81.25,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,87.5,0,81.25,93.75,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,100,0,93.75,106.25,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,112.5,0,106.25,118.75,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,125,0,118.75,131.25,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,137.5,0,131.25,143.75,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,150,0,143.75,156.25,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,162.5,0,156.25,168.75,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,175,0,168.75,181.25,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,187.5,0,181.25,193.75,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,200,0,193.75,225,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,250,0,225,275,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,300,0,275,325,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,350,0,325,375,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Notolabrus tetricus,400,0,375,450,0,0,36.12,0.161,3.030344711,0.487885498,390,20.074851926316367
Coris auricularis,2.5,0.1049619634627131,1.25,3.75,0.08331360946745561,0.05808008792003728,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,5,0.09933810872341607,3.75,6.25,0.08083600238857826,0.09785973137089876,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,7.5,0.09368204786495642,6.25,8.75,0.07828022365778187,0.1954203676782572,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,10,0.1702637570103837,8.75,11.25,0.1485293957982737,0.2229510249222701,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,12.5,0.07650619134877007,11.25,13.75,0.07004180011942891,0.16173391668463555,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,15,0.13554667110889,13.75,17.5,0.13101677433364095,0.11335702908177817,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,20,0.11191293242267755,17.5,22.5,0.11785570815916616,0.07855766622382049,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,25,0.12237436837136988,22.5,27.5,0.14795070843059552,0.04663796281483233,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,30,0.050086068077072575,27.5,32.5,0.073877639650399,0.02098534434188652,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,35,0.03135432283858071,32.5,37.5,0.058197709136311816,0.00402039410991395,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,40,0.003973568771169971,37.5,45,0.010100428858368166,3.477849576050137e-4,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,50,0,45,56.25,0,4.868989406470191e-5,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,62.5,0,56.25,68.75,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,75,0,68.75,81.25,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,87.5,0,81.25,93.75,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,100,0,93.75,106.25,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,112.5,0,106.25,118.75,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,125,0,118.75,131.25,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,137.5,0,131.25,143.75,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,150,0,143.75,156.25,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,162.5,0,156.25,168.75,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,175,0,168.75,181.25,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,187.5,0,181.25,193.75,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,200,0,193.75,225,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,250,0,225,275,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,300,0,275,325,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,350,0,325,375,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Coris auricularis,400,0,375,450,0,0,37.8,0.23,1.912741224,0.439930481,370,11.575413690207078
Thalassoma lunare,2.5,0.24074707196959225,1.25,3.75,0.26427623013328133,0.0696832955561563,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,5,0.22212683481107007,3.75,6.25,0.23525214296682354,0.17714030235604816,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,7.5,0.19980743753660823,6.25,8.75,0.20194018661198976,0.22418848385285617,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,10,0.2908761592084325,8.75,11.25,0.2636852448524279,0.20546278774771776,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,12.5,0.04293439049958144,11.25,13.75,0.03252483622094591,0.1489737777870199,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,15,0.003508105974715493,13.75,17.5,0.002321359214531528,0.11457921770051364,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,20,0,17.5,22.5,0,0.04733930836573852,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,25,0,22.5,27.5,0,0.01218573894237767,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,30,0,27.5,32.5,0,4.470876915718772e-4,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,35,0,32.5,37.5,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,40,0,37.5,45,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,50,0,45,56.25,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,62.5,0,56.25,68.75,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,75,0,68.75,81.25,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,87.5,0,81.25,93.75,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,100,0,93.75,106.25,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,112.5,0,106.25,118.75,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,125,0,118.75,131.25,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,137.5,0,131.25,143.75,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,150,0,143.75,156.25,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,162.5,0,156.25,168.75,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,175,0,168.75,181.25,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,187.5,0,181.25,193.75,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,200,0,193.75,225,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,250,0,225,275,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,300,0,275,325,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,350,0,325,375,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Thalassoma lunare,400,0,375,450,0,0,12.9,0.54,1.345382475,0.726506536,150,9.641654016511051
Ctenochaetus striatus,2.5,0.06281214776714134,1.25,3.75,0.1922942907677858,0.01317776100182068,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,5,0.06841506458594615,3.75,6.25,0.1778925044398977,0.02210355699631422,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,7.5,0.07576214591502489,6.25,8.75,0.1621885892518908,0.06940805541986766,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,10,0.18810835410349624,8.75,11.25,0.2694285462816384,0.16098627825391892,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,12.5,0.1368968053637292,11.25,13.75,0.10003002130427496,0.2727252542297615,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,15,0.3875146184904722,13.75,17.5,0.09292377361766362,0.2784315466939029,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,20,0.08049086377418997,17.5,22.5,0.005242274336848679,0.1529486211643501,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,25,0,22.5,27.5,0,0.02697721923708868,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,30,0,27.5,32.5,0,0.00270882366002042,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,35,0,32.5,37.5,0,5.328833429548381e-4,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,40,0,37.5,45,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,50,0,45,56.25,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,62.5,0,56.25,68.75,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,75,0,68.75,81.25,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,87.5,0,81.25,93.75,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,100,0,93.75,106.25,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,112.5,0,106.25,118.75,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,125,0,118.75,131.25,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,137.5,0,131.25,143.75,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,150,0,143.75,156.25,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,162.5,0,156.25,168.75,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,175,0,168.75,181.25,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,187.5,0,181.25,193.75,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,200,0,193.75,225,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,250,0,225,275,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,300,0,275,325,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,350,0,325,375,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Ctenochaetus striatus,400,0,375,450,0,0,17.2,0.291,0.454546971,0.132273169,220,13.692742794973135
Pomacentrus wardi,2.5,0.34602218902330617,1.25,3.75,0.5202800338423321,0.2548274390569158,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,5,0.3840980435342163,3.75,6.25,0.3649767865822027,0.3997973009014776,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,7.5,0.2614082944808719,6.25,8.75,0.11329653443391827,0.23329065983890757,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,10,0.00847147296160572,8.75,11.25,0.0014466451415470268,0.0943617645489945,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,12.5,0,11.25,13.75,0,0.01772283565370459,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,15,0,13.75,17.5,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,20,0,17.5,22.5,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,25,0,22.5,27.5,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,30,0,27.5,32.5,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,35,0,32.5,37.5,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,40,0,37.5,45,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,50,0,45,56.25,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,62.5,0,56.25,68.75,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,75,0,68.75,81.25,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,87.5,0,81.25,93.75,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,100,0,93.75,106.25,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,112.5,0,106.25,118.75,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,125,0,118.75,131.25,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,137.5,0,131.25,143.75,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,150,0,143.75,156.25,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,162.5,0,156.25,168.75,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,175,0,168.75,181.25,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,187.5,0,181.25,193.75,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,200,0,193.75,225,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,250,0,225,275,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,300,0,275,325,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,350,0,325,375,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Pomacentrus wardi,400,0,375,450,0,0,7.2,0.51,0.86,0.44,81.4,5.550888142102737
Acanthurus nigrofuscus,2.5,0.07469898326324488,1.25,3.75,0.21102206622321493,0.0166317147927085,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,5,0.08170141149878053,3.75,6.25,0.1933948602145259,0.1052911759961284,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,7.5,0.09116949853888864,6.25,8.75,0.17394516580349034,0.2466042910146798,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,10,0.23479572775961857,8.75,11.25,0.2776527331189711,0.30717857718986935,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,12.5,0.18803481860941546,11.25,13.75,0.09023833484696006,0.1813195676722052,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,15,0.31918840691282624,13.75,17.5,0.05333693331042439,0.10440393611872882,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,20,0.010411153417225611,17.5,22.5,4.0990648241329375e-4,0.03448943377964188,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,25,0,22.5,27.5,0,0.00366188094854008,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,30,0,27.5,32.5,0,4.194224874979835e-4,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,35,0,32.5,37.5,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,40,0,37.5,45,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,50,0,45,56.25,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,62.5,0,56.25,68.75,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,75,0,68.75,81.25,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,87.5,0,81.25,93.75,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,100,0,93.75,106.25,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,112.5,0,106.25,118.75,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,125,0,118.75,131.25,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,137.5,0,131.25,143.75,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,150,0,143.75,156.25,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,162.5,0,156.25,168.75,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,175,0,168.75,181.25,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,187.5,0,181.25,193.75,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,200,0,193.75,225,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,250,0,225,275,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,300,0,275,325,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,350,0,325,375,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Acanthurus nigrofuscus,400,0,375,450,0,0,15.8,0.478,0.490027126,0.234232966,190,10.11582513308598
Notolabrus fucicola,2.5,0.11220240161032832,1.25,3.75,0.07876145222169859,2.9960820465545055e-4,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,5,0.1049478636057293,3.75,6.25,0.07655423780843713,0.00320350311131597,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,7.5,0.09776833394160993,6.25,8.75,0.07428216890702893,0.01350541599446877,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,10,0.17432386138458683,8.75,11.25,0.1414465577399508,0.03556118921410463,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,12.5,0.07672793467333308,11.25,13.75,0.06699468625560451,0.07160636091265268,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,15,0.1330647960108997,13.75,17.5,0.12602848409119408,0.16273334869785666,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,20,0.10659356898640221,17.5,22.5,0.11456761512752554,0.25427517861258353,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,25,0.11251139119200569,22.5,27.5,0.14723590171518502,0.23911039410002305,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,30,0.04539907795717584,27.5,32.5,0.07816262911447683,0.15738649458400553,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,35,0.03076685392629479,32.5,37.5,0.07385845291780342,0.05466697395713298,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,40,0.005673765217177134,37.5,45,0.021904603371568656,0.00700622263194284,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,50,2.0151494457219497e-5,45,56.25,2.03210729526519e-4,6.453099792578936e-4,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,62.5,0,56.25,68.75,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,75,0,68.75,81.25,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,87.5,0,81.25,93.75,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,100,0,93.75,106.25,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,112.5,0,106.25,118.75,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,125,0,118.75,131.25,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,137.5,0,131.25,143.75,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,150,0,143.75,156.25,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,162.5,0,156.25,168.75,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,175,0,168.75,181.25,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
Notolabrus fucicola,187.5,0,181.25,193.75,0,0,39.9,0.12,2.177218255,0.261266191,390,21.820465545056464
