species,mean_size,size_min,size_class,size_max,p_obs,pref,ll_ratio,mu,sd,sdlog,meanlog,name,value,alp,lty
Meiacanthus phaeus,6.130705394190872,1.25,2.5,3.75,0.04149377593360996,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_lnorm,0.0932774942568961,0.8,73
Meiacanthus phaeus,6.130705394190872,3.75,5,6.25,0.5601659751037344,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_norm,0.39611983139688517,0.8,73
Meiacanthus phaeus,6.130705394190872,3.75,5,6.25,0.5601659751037344,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_lnorm,0.49520204655345135,0.8,73
Meiacanthus phaeus,6.130705394190872,6.25,7.5,8.75,0.3112033195020747,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_norm,0.3727302436591785,0.8,73
Meiacanthus phaeus,6.130705394190872,6.25,7.5,8.75,0.3112033195020747,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_lnorm,0.3042076534587912,0.8,73
Meiacanthus phaeus,6.130705394190872,8.75,10,11.25,0.07883817427385892,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_norm,0.09742484434965248,0.8,73
Meiacanthus phaeus,6.130705394190872,8.75,10,11.25,0.07883817427385892,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_lnorm,0.08460403509930536,0.8,73
Meiacanthus phaeus,6.130705394190872,11.25,12.5,13.75,0.00829875518672199,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_norm,0.006897067726755357,0.8,73
Meiacanthus phaeus,6.130705394190872,11.25,12.5,13.75,0.00829875518672199,no_pref,-0.3690469653694439,6.130705394190872,2.0844398340248964,0.33074518404838,1.758613627404,p_lnorm,0.018147032763498938,0.8,73
Bolbometopon muricatum,78.02248677248677,3.75,5,6.25,0.00264550264550264,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,8.527319594603348e-4,1,solid
Bolbometopon muricatum,78.02248677248677,3.75,5,6.25,0.00264550264550264,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,4.0979278159152615e-14,0.8,73
Bolbometopon muricatum,78.02248677248677,11.25,12.5,13.75,0.00264550264550264,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.0017832370455601416,1,solid
Bolbometopon muricatum,78.02248677248677,11.25,12.5,13.75,0.00264550264550264,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,1.7915787122744476e-7,0.8,73
Bolbometopon muricatum,78.02248677248677,27.5,30,32.5,0.0079365079365079309,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_norm,0.014656297667064964,1,solid
Bolbometopon muricatum,78.02248677248677,27.5,30,32.5,0.0079365079365079309,norm_pref,21.63692680939547,78.02248677248677,26.527645502645505,0.33074518404838,4.302300888710811,p_lnorm,0.00511782843701959,0.8,73
