species,size_class,p_lbspr,size_min,size_max,p_lbspr_mk15,p_obs,std_linf,std_k,std_mk,hoenig_m,largest_fish_in_sample_mm,mean_size
Lutjanus gibbus,15,0.09824602888161528,13.75,17.5,0.14350445365853123,0.28388583130679634,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,20,0.111383181292081,17.5,22.5,0.124402266357478,0.19403558172276977,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,25,0.22005637764309097,22.5,27.5,0.14064676731792009,0.2969409957762703,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,30,0.18469485963667745,27.5,32.5,0.04955595358651181,0.12287213618328428,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,35,0.1306932500321506,32.5,37.5,0.01681845720122664,0.04530910021758607,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,40,0.0053971533231281,37.5,45,1.8582108178656523e-4,0.01510303340586202,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,50,0,45,56.25,0,0.0072955330858825,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,62.5,0,56.25,68.75,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,75,0,68.75,81.25,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,87.5,0,81.25,93.75,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,100,0,93.75,106.25,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,112.5,0,106.25,118.75,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,125,0,118.75,131.25,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,137.5,0,131.25,143.75,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,150,0,143.75,156.25,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,162.5,0,156.25,168.75,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,175,0,168.75,181.25,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,187.5,0,181.25,193.75,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,200,0,193.75,225,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,250,0,225,275,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,300,0,275,325,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,350,0,325,375,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Lutjanus gibbus,400,0,375,450,0,0,32.9,0.288,0.575960035,0.16587649,420,22.21329834890567
Sphyraena flavicauda,2.5,0.09367537245834032,1.25,3.75,0.07616379928431344,0,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,5,0.08934937684801811,3.75,6.25,0.07410450231320505,0.08587896253602305,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,7.5,0.0849893442163964,6.25,8.75,0.07198590621465638,0.04610951008645533,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,10,0.15675036480001053,8.75,11.25,0.13734756081125518,0.02190201729106628,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,12.5,0.07167977091986696,11.25,13.75,0.06521071136311443,0.06801152737752161,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,15,0.12973924347779303,13.75,17.5,0.12304892393647016,0.02997118155619596,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,20,0.11121761404872564,17.5,22.5,0.11248289759256325,0.12853025936599424,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,25,0.1308986981388337,22.5,27.5,0.1462521334208804,0.3982708933717579,41.21,0.39,1.862837273,0.726506536,382,22
Sphyraena flavicauda,30,0.0621779521351643,27.5,32.5,0.07966999496496499,0.1579250720461095,41.21,0.39,1.862837273,0.726506536,382,22
